status,reason,compound_id,smiles
failed,conformer_generation,1123,CN[C@@H](C)C(=O)N[C@@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OCCCCCC(=O)N3CCN(CC[C@H](CSc4ccccc4)Nc4ccc(S(=O)(=O)NC(=O)c5ccc(N6CCN(CC7=C(c8ccc(Cl)cc8)CCC(C)(C)C7)CC6)cc5)cc4S(=O)(=O)C(F)(F)F)CC3)c2)cs1)C1CCCCC1
failed,conformer_generation,1124,CN[C@@H](C)C(=O)N[C@@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OCCCCCCC(=O)N3CCN(CC[C@H](CSc4ccccc4)Nc4ccc(S(=O)(=O)NC(=O)c5ccc(N6CCN(CC7=C(c8ccc(Cl)cc8)CCC(C)(C)C7)CC6)cc5)cc4S(=O)(=O)C(F)(F)F)CC3)c2)cs1)C1CCCCC1
failed,conformer_generation,1125,CN[C@H](C)C(=O)N[C@@H]1CCO[C@@H]2CC(C)(C)[C@H](C(=O)N[C@@H]3CCCc4cc(OCCOCCOCc5cn(CCCC(=O)N6CCN(CC[C@H](CSc7ccccc7)Nc7ccc(S(=O)(=O)NC(=O)c8ccc(N9CCN(CC%10=C(c%11ccc(Cl)cc%11)CCC(C)(C)C%10)CC9)cc8)cc7S(=O)(=O)C(F)(F)F)CC6)nn5)ccc43)N2C1=O
failed,conformer_generation,1126,CN[C@H](C)C(=O)N[C@@H]1CCO[C@@H]2CC(C)(C)[C@H](C(=O)N[C@@H]3CCCc4cc(OCCOCCOCCOCc5cn(CCCC(=O)N6CCN(CC[C@H](CSc7ccccc7)Nc7ccc(S(=O)(=O)NC(=O)c8ccc(N9CCN(CC%10=C(c%11ccc(Cl)cc%11)CCC(C)(C)C%10)CC9)cc8)cc7S(=O)(=O)C(F)(F)F)CC6)nn5)ccc43)N2C1=O
failed,conformer_generation,1127,CN[C@H](C)C(=O)N[C@@H]1CCO[C@@H]2CC(C)(C)[C@H](C(=O)N[C@@H]3CCCc4cc(OCCOCCOCC(=O)N5CCN(CC[C@H](CSc6ccccc6)Nc6ccc(S(=O)(=O)NC(=O)c7ccc(N8CCN(CC9=C(c%10ccc(Cl)cc%10)CCC(C)(C)C9)CC8)cc7)cc6S(=O)(=O)C(F)(F)F)CC5)ccc43)N2C1=O
failed,conformer_generation,1128,CN[C@H](C)C(=O)N[C@@H]1CCO[C@@H]2CC(C)(C)[C@H](C(=O)N[C@@H]3CCCc4cc(OCCCOCCOCCOCCOCC(=O)N5CCN(CC[C@H](CSc6ccccc6)Nc6ccc(S(=O)(=O)NC(=O)c7ccc(N8CCN(CC9=C(c%10ccc(Cl)cc%10)CCC(C)(C)C9)CC8)cc7)cc6S(=O)(=O)C(F)(F)F)CC5)ccc43)N2C1=O
failed,conformer_generation,1129,CN[C@H](C)C(=O)N[C@@H]1CCO[C@@H]2CC(C)(C)[C@H](C(=O)N[C@@H]3CCCc4cc(OCCCC(=O)N5CCN(CC[C@H](CSc6ccccc6)Nc6ccc(S(=O)(=O)NC(=O)c7ccc(N8CCN(CC9=C(c%10ccc(Cl)cc%10)CCC(C)(C)C9)CC8)cc7)cc6S(=O)(=O)C(F)(F)F)CC5)ccc43)N2C1=O
failed,conformer_generation,1130,CN[C@H](C)C(=O)N[C@@H]1CCO[C@@H]2CC(C)(C)[C@H](C(=O)N[C@@H]3CCCc4cc(OCCCCC(=O)N5CCN(CC[C@H](CSc6ccccc6)Nc6ccc(S(=O)(=O)NC(=O)c7ccc(N8CCN(CC9=C(c%10ccc(Cl)cc%10)CCC(C)(C)C9)CC8)cc7)cc6S(=O)(=O)C(F)(F)F)CC5)ccc43)N2C1=O
failed,conformer_generation,1131,CN[C@H](C)C(=O)N[C@@H]1CCO[C@@H]2CC(C)(C)[C@H](C(=O)N[C@@H]3CCCc4cc(OCCCCCC(=O)N5CCN(CC[C@H](CSc6ccccc6)Nc6ccc(S(=O)(=O)NC(=O)c7ccc(N8CCN(CC9=C(c%10ccc(Cl)cc%10)CCC(C)(C)C9)CC8)cc7)cc6S(=O)(=O)C(F)(F)F)CC5)ccc43)N2C1=O
failed,conformer_generation,1132,CN[C@H](C)C(=O)N[C@@H]1CCO[C@@H]2CC(C)(C)[C@H](C(=O)N[C@@H]3CCCc4cc(OCCCCCCC(=O)N5CCN(CC[C@H](CSc6ccccc6)Nc6ccc(S(=O)(=O)NC(=O)c7ccc(N8CCN(CC9=C(c%10ccc(Cl)cc%10)CCC(C)(C)C9)CC8)cc7)cc6S(=O)(=O)C(F)(F)F)CC5)ccc43)N2C1=O
